geo_type,region,state,county,city,transportation_type,alternative_name,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20
country/region,United States,,,,driving,US,100,102.97,105.19,108.48,125.51,115.04,90.91,102.57,103.07,103.01,107.9,124.7,120.92,87.32,97.97,101.54,102.2,107.61,126.08,122.32,85.25,98.86,101.99,101.77,107.72,124.07,122.87,91.58,102.93,106.75,109.02,118.36,145.4,132.51,102.27,110.78,109.46,110.85,114.86,135.85,134.35,99.48,106.23,110.27,112.36,118.85,139.8,138.41,101.04,107.73,112.98,113.05,119.74,139.98,137.37,101.64,109.65,111.34,110.97,108.49,117.01,102.87,76.16,84.09,77.04,72.84,70.21,74.33,62.31,46.45,55.73,55.52,55.24,56.81,62.22,52.56,42.96,53.53,53.98,55.49,55.64,60.61,52.22,42.19,53.73,55.27,56.21,56.9,63.87,57.51,37.42,54.98,59.3,63.03,64.11,70.71,65.07,52.71,65.15,65,66.49,68,76.68,72.62,57.06,68.77,71.33,71.86,74.98,88.5,84.34,68.08,78.01,80.55,81.47,85.85,95.56,93.62,70.41
country/region,United States,,,,transit,US,100,97.77,98.84,99.04,108.03,97.41,85.4,92.39,100.27,101.06,103.29,113.06,101.88,81.35,97.56,97.08,97.49,100.72,110.99,103.42,80.2,96.48,97.63,98.26,101.15,110.91,107.27,84.2,98.3,100.64,102.08,106.67,119.06,107.77,91.63,101.73,104.64,105.16,106.16,117.14,110.65,87.27,99.21,100.12,100.52,102.98,116.02,109.92,85.31,98.06,100.26,101.5,103.53,111.5,107.32,84.23,97.1,92.48,89.97,79.08,76.78,64.59,49.93,50.79,43.58,39.63,36.76,35.8,29.31,24.84,28.17,27.91,26.94,27.09,28.07,23.83,22.39,26.51,25.47,25.24,24.67,25.04,22.42,20.92,24.71,24.65,24.51,23.69,24.31,22.65,19.06,23.67,24.44,24.23,24.06,24.89,22.89,22.11,26.13,25.1,25.09,25.08,25.99,24.85,22.47,26.64,27.32,26.84,26.66,29.24,28.11,26.35,30,29.8,29.47,30.12,30.07,28.58,24.77
country/region,United States,,,,walking,US,100,99.59,101.87,100.6,121.36,132.38,100.1,94.79,94.84,97.04,100.83,126.67,139.61,89.9,91.94,93.97,94.44,99.96,125.02,140.8,88.42,92.42,93.82,94.52,97.6,122.23,142.94,92.83,91.94,96.13,99.84,108.3,147.82,158.55,116.26,107.52,100.23,103.21,106.25,136.41,162.45,106.11,99.34,103.03,101.84,107.83,136.34,155.82,102.29,99.2,104.76,104.61,111.67,133.94,155.7,107.77,105.33,103.06,102.34,96.43,105.88,105.24,69.72,69.43,64.05,59.26,56.3,59.59,52.26,39.71,44.31,46.34,46.04,48.25,51.95,44.42,38.29,45.36,45.06,47.41,47.1,50.2,45.77,38.89,46.94,48.7,48.77,46.28,51.97,50.69,34.2,44.06,48.68,50.37,50.64,54.85,52.49,45.86,53.87,51.9,52.86,52.92,58.89,60,45.95,54.93,57.61,56.67,57.81,69.58,71.29,57.64,63.27,64.79,64.32,68.9,73.57,75.32,55.76
city,Albuquerque,NM,,Albuquerque,driving,,100,101.06,104.03,97.01,118.28,116.32,80.57,94.51,99.66,101.47,104.29,119.89,115.52,77.72,96.01,103.17,103.8,106.1,121.73,117.85,77.04,97.16,98.5,104.48,108.02,125.97,121.12,83.81,105.73,90.05,110.8,123.73,144.08,126.84,94.49,105.31,108.67,108.85,114.72,133.53,126.33,85.98,112.65,109.58,114.18,118.12,135,143.68,93.07,107.47,115.03,112.75,118.74,137.36,132.8,87.89,111.34,121.72,120.34,115.46,115.42,105.16,73.31,90.14,82.66,79.14,73.26,80.06,66.52,51.19,63.13,55.03,56.43,53.86,60.69,52.93,43.05,54.76,57.3,57.72,58.72,65.78,57.23,44.45,57.06,57.64,59.35,60.2,69.14,58.42,37.42,51.78,59.63,66,67.78,75.23,66.92,53.13,66.58,66.09,69.02,71.7,78.53,70.01,57.21,69.77,73.44,73.93,76.91,90.4,80.03,63.08,77.37,81.24,80.79,83.39,93.47,87.01,64.11
city,Albuquerque,NM,,Albuquerque,transit,,100,82.47,86.27,77.21,79.91,80.35,66.62,82.91,89.92,89.26,80.79,87.87,87.87,68.37,75.75,87.14,91.67,93.5,93.21,80.13,64.79,88.17,78.52,87,85.68,95.03,84.51,72.46,89.63,77.57,88.02,91.75,91.6,83.49,74.87,92.99,91.02,91.96,96.57,97.95,81.3,69.83,89.04,73.05,91.53,88.09,88.82,87.36,65.67,87.44,87.14,89.55,96.49,104.16,92.99,73.27,95.11,98.39,94.45,84.95,74,64.65,52.52,64.21,59.31,58.07,48.06,48.43,42,34.62,43.83,38.5,44.7,37.69,37.55,38.57,31.99,36.89,39.08,32.07,36.52,39.81,32.14,30.09,31.78,33.97,35.43,34.26,34.19,27.98,23.3,27.98,32.29,30.68,33.38,32.94,32.65,31.92,33.82,30.97,37.11,29.29,33.89,33.53,28.78,34.19,36.82,35.57,40.91,44.49,37.11,35.28,37.69,38.86,40.1,40.39,38.35,37.69,31.41
city,Albuquerque,NM,,Albuquerque,walking,,100,102.02,107.65,86.33,115.66,129.9,88.77,98.01,101.99,106.8,107.85,132.13,126.92,86.26,94.58,101.19,101.85,106.23,129.45,134.93,77.27,97.99,88.65,97.3,104.22,136.18,149.01,84.67,93.22,88.63,109.91,135.4,154.34,151.96,105.12,115.31,111.07,109.17,117.87,131.31,145.02,84.46,111.83,102.85,111.09,119.05,143.13,162.98,92.99,113.46,117.39,112.58,121.26,150.73,156.21,90.92,113.94,120.8,122.61,123.43,122.66,118.94,78.75,98.24,93.29,76.61,74.86,80.73,72.84,54.22,69.71,62.98,61.71,56.64,64.38,61.92,49.83,62.79,65.78,66.85,73.48,74.72,67.98,55.38,64.83,73.62,66.51,69.07,80.31,65.61,42.61,50.43,62.04,74.31,72.2,79.64,71.45,63.72,78.65,73.69,76.76,77.63,83.7,82.09,65.87,75.28,83.88,87.56,89.58,101.59,92.54,69.08,86.75,94.95,93.39,94.13,103.06,97.94,66.02
city,Ann Arbor,MI,,Ann Arbor,driving,,100,100.28,101.92,104.53,129.03,81.12,79.29,97.64,95.8,99.34,102.76,122.14,113.41,80.02,89.53,94.99,94.57,104.41,124.26,113.06,80.42,90.62,96.38,97.37,104.51,121.18,115.59,85.91,91.66,98.37,100.82,106.19,130.52,117.39,93.63,101.01,100.2,102.07,107.26,126.91,119.58,89.49,92.03,94.87,92.19,103.14,119.98,104.77,75.66,89.8,92.75,92.58,102.84,110.11,109.64,92.93,99.72,108.27,97.9,93.57,94.55,78.06,60.31,62.91,59.24,53.73,52.82,57.43,47.29,35.31,43.72,32.69,36.28,36.04,39.24,33.17,28.82,34.63,34.74,34.89,38.17,43.52,36.06,31.73,36.14,34.48,38.16,36.64,42.09,38.21,25.23,34.14,37.04,37.87,40.1,39.2,43.8,35.87,42.01,40.45,39.47,42.63,48.44,46.05,40.62,48.82,51.54,46.44,48.52,60.69,57.56,49.52,53.14,53.37,56.99,61.23,64.24,59.86,46.84
city,Ann Arbor,MI,,Ann Arbor,transit,,100,103.06,94.19,95.9,98.55,64.89,52.03,76.44,90.53,91.8,99.4,100.04,72.61,57.36,80.99,82.07,87.92,94.41,97.88,75.44,57.4,88.89,83.79,87.33,93.07,103.54,69.96,55.39,90.05,91.91,90.23,94.52,106.04,71.6,54.45,85.76,85.87,93.25,85.95,100.19,75.21,51.06,80.58,89,94.45,87.18,81.33,57.32,44.84,57.32,56.28,61.01,54.83,53.48,56.76,49.35,86.4,96.05,77.41,67.91,58.33,41.41,32.99,33.92,30.64,26.57,22.88,23.63,17.96,12.49,16.03,14.46,17.44,15.62,14.61,14.65,10.21,13.46,14.95,11.89,13.46,15.24,11.41,10.66,11.89,11.29,13.83,10.29,13.83,12.37,7.53,11.26,12.11,14.28,11.85,9.91,12.08,11.59,12.93,13.08,11.48,9.65,13.72,10.21,10.44,11.55,11.48,9.5,13.05,16.51,12.52,16.4,16.21,12.56,13.72,15.88,14.76,14.72,11.41
city,Ann Arbor,MI,,Ann Arbor,walking,,100,110.19,108.98,108.39,134.95,100.24,76.06,95.71,89.51,94.17,104.87,129.99,136.68,73.62,81.08,82.94,84.88,96.03,140.44,127.97,76.34,82.62,82.7,82.75,93.28,129.33,138.03,72.9,75.81,81.2,82.33,92.63,138.7,153.29,97.88,85.68,84.72,83.95,93.39,127.05,150.18,85.02,68.76,75.69,70.08,85.85,88.36,77.59,46.26,51.07,49.56,52.36,60.48,62.1,90.15,90.39,81.53,110.45,75.99,78.3,81.24,73.93,48.27,37.96,40.85,31.36,30.32,33.62,28.29,21.42,25.44,20.94,25.51,22.62,24.65,20.65,18.79,25.57,21.72,20.84,28.84,31.45,24.28,27.35,25.95,24.95,29.04,22.51,22.9,25.77,19.36,22.01,24.47,23.2,23.53,19.58,27.2,27.04,27.1,20.38,19.16,20.65,25.22,28.69,26.78,29.61,30.84,24.95,24.14,36.92,36.64,34.57,31.65,27.32,32.77,35.25,32.37,29.35,20.88
city,Annapolis,MD,,Annapolis,driving,,100,106.04,108.09,109.33,135.16,110.28,95.6,101.88,101.22,108.3,107.94,123.59,123.44,83.84,92.34,99.98,105.96,106.02,122.1,127.68,82,95.85,101.82,98.37,103.46,117.27,125.09,92.83,97.63,106.17,108.23,116.86,155.63,146.51,102.56,118.34,107.72,114.09,114.49,135.94,145.96,99.43,98.62,104.77,112.37,114.8,134.06,136.61,98.09,106.07,109.75,119.72,117.66,143.23,140.29,108.54,107.82,107.8,107.32,104.36,106.83,95.48,69.45,77.8,66.1,63.42,59.72,65.98,52.39,40.43,45.29,47.49,44.45,52.82,55.53,44.52,38.64,51.65,38.86,42.13,43.83,51.63,45.1,37.27,46.13,46.18,49.22,49.56,53.05,50.84,33.76,44.54,51.71,56.22,53.79,59.82,55.46,48.15,54.94,53.46,60.5,57.59,61.72,62.8,44.3,55.43,63.14,65.71,56.34,73.97,71.8,52.06,68.24,64.52,62.32,77.21,75.31,74.96,66.2
